SK_ID_CURR,PRED
149741,0.73
363290,0.06
436006,0.73
377703,0.22
188624,0.86
454397,0.2
358007,0.39
140209,0.37
234837,0.16
269983,0.33
435574,0.22
299809,0.36
386485,0.11
269948,0.02
280976,0.38
238068,0.26
304049,0.07
414990,0.08
217203,0.41
376182,0.01
105944,0.26
141357,0.22
309630,0.04
242368,0.31
442101,0.32
398068,0.09
200440,0.7
130746,0.05
391997,0.07
290025,0.42
343846,0.16
126485,0.29
104163,0.84
362585,0.51
208568,0.19
223220,0.01
115449,0.02
157918,0.02
235847,0.46
424643,0.45
260115,0.0
101029,0.45
209683,0.17
332916,0.27
170649,0.19
148754,0.53
322016,0.17
410057,0.03
400391,0.28
303311,0.2
306375,0.41
349106,0.2
276461,0.01
410126,0.2
150037,0.77
454632,0.36
174402,0.92
261588,0.03
348830,0.16
340159,0.0
389531,0.36
162563,0.21
334705,0.04
304569,0.03
310542,0.45
308062,0.35
261605,0.08
322239,0.05
117154,0.27
364023,0.08
348864,0.04
345535,0.24
228272,0.3
418424,0.09
383965,0.07
145408,0.41
427237,0.3
264554,0.25
174096,0.01
354555,0.33
410575,0.96
186995,0.44
283181,0.24
434215,0.61
337331,0.78
424061,0.14
232858,0.01
176976,0.13
289643,0.59
261786,0.06
160826,0.32
148685,0.03
184353,0.04
129079,0.11
169069,0.37
196926,0.8
221111,0.68
167852,0.02
297652,0.79
181938,0.33
293370,0.5
421379,0.05
332561,0.26
340723,0.06
229097,0.03
175449,0.07
193445,0.46
330554,0.34
302817,0.69
424238,0.52
175232,0.34
390273,0.05
187554,0.02
283526,0.07
422721,0.54
416240,0.31
259330,0.08
434371,0.42
382582,0.13
197878,0.16
189555,0.27
273167,0.69
241255,0.14
168675,0.06
260249,0.15
181438,0.06
247375,0.28
426054,0.26
264562,0.19
133340,0.99
325719,0.37
447395,0.06
452598,0.07
311400,0.69
341080,0.3
373081,0.11
404162,0.0
242418,0.12
237969,0.08
360771,0.49
231795,0.0
146290,0.01
421260,0.14
315059,0.29
282509,0.09
182155,0.5
107722,0.06
396388,0.81
